Name of Organization,Condition(s),Tag,Health Region,City,Address,Postal Code,Contact email,Contact phone number,Contact website,Status,Services offered,Language restriction,Age restriction,Cost,Virtual/In-person,Notes,map,images,images links,,
ADHD Advocacy Society BC,ADHD,"adhd, attention deficit hyperactivity disorder, neuro, mind, brain, mental, behaviour",All of BC,,only online,n/a,info@adhdbcsociety.com,n/a,https://www.adhdbcsociety.com/,Active,"raises awareness about ADHD, provides information for families",N/A,Youth and adults,Free,Virtual only,,,images/attention.jpg,https://unsplash.com/photos/man-seating-beside-fan-VGnBNgNpDNk,,
Al-anon family groups,Intox,alcohol use,National,,"222 Queen Street, Suite 1000, Ottawa ON",K1P 5V9,wso@al-anon.org,604-688-1716,https://al-anon.org/,Active,A mutual support group of peers who share their experience of problems related to the effects of a problem drinker in their lives. It is not group therapy and is not led by a counselor or therapist. This support network complements and supports professional treatment.,N/A,Youth and adults,Out of pocket,Virtual only,Intox,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d294.3619837718533!2d-75.7011167658999!3d45.42024949182496!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cce04544e045a53%3A0x6b1b112cdbc4b534!2s222%20Queen%20St%20Suite%201000%2C%20Ottawa%2C%20ON%20K1P%205V9!5e0!3m2!1sen!2sca!4v1736288456939!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/alcohol.jpg,https://unsplash.com/photos/black-and-white-labeled-bottle-ZrLUVpI5Wu4,,
ALS Society of BC,Amyotrophic lateral sclerosis (ALS),"amyotrophic, ALS, lou gehrig, motor neuron, progressive, neuro, neuromuscular, charcot, primary lateral sclerosis, spinal muscular atrophy, anterior horn cell disease, neurodegenerative",VCH,Vancouver,"1228-13351 Commerce Parkway, Richmond, BC",V6V 2X7,info@alsbc.ca,604-278-2257,https://www.alsbc.ca/programs-services/support-groups/,Active,"Support groups (online and in-person, variety of topics)",English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2608.4756680840765!2d-123.07486102318651!3d49.172559878545556!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486757a39c6cc57%3A0x4047d094d07bf203!2sALS%20Society%20of%20BC!5e0!3m2!1sen!2sca!4v1736288024607!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/spine.jpg,https://unsplash.com/photos/brown-and-black-clipboard-with-white-spinal-cord-print-manual-IG96K_HiDk0,,
ALS Society of British Columbia,ALS,ALS,Interior,Kamloops,"ZOOM & Kamloops  Seniors Village, 1220 Hugh Allan Drive",,pa1697@telus.net,250-319-4516,"https://www.alsbc.ca/programs-services/support-groups/#:~:text=The%20ALS%20Society%20of%20BC,share%20their%20experiences%20and%20challenges.",Active,"LS support groups provide an open, friendly, and safe environment for ALS patients, family members, friends, and caregivers to discuss issues related to living with ALS.",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2529.75343461476!2d-120.3752022231194!3d50.65027017295581!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x537e2c738b2d7841%3A0xc1973200443890ca!2sKamloops%20Seniors%20Village!5e0!3m2!1sen!2sca!4v1736288961452!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/neurons1.jpg,https://unsplash.com/photos/blue-and-black-abstract-painting-AAMldegB0x8,,
ALS Society of British Columbia,ALS,ALS,Northern,Williams Lake,North Central Island & Northern Region Meetings,,Shirley.Theriault@yahoo.ca,Shirley Theriault,"https://www.alsbc.ca/programs-services/support-groups/#:~:text=The%20ALS%20Society%20of%20BC,share%20their%20experiences%20and%20challenges.",Active,"LS support groups provide an open, friendly, and safe environment for ALS patients, family members, friends, and caregivers to discuss issues related to living with ALS.",N/A,Youth and adults,Free,Virtual only,,,images/neurons2.jpg,https://unsplash.com/photos/a-bunch-of-lights-that-are-on-a-tree-NVprB2Xt1bA,,
ALS Society of British Columbia,ALS,ALS,Interior,Kelowna,"ZOOM & Trinity Baptist Church, 1905 Springfield Road",,louiseadderley50@gmail.com,Louise Adderley,"https://www.alsbc.ca/programs-services/support-groups/#:~:text=The%20ALS%20Society%20of%20BC,share%20their%20experiences%20and%20challenges.",Active,"LS support groups provide an open, friendly, and safe environment for ALS patients, family members, friends, and caregivers to discuss issues related to living with ALS.",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2571.1835453587605!2d-119.45653122315497!3d49.87657962851726!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x537d8cb0f570e9a3%3A0x156df895509f3b61!2sTrinity%20Church!5e0!3m2!1sen!2sca!4v1736289000812!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/neurons2.jpg,https://unsplash.com/photos/a-bunch-of-lights-that-are-on-a-tree-NVprB2Xt1bA,,
ALS Society of British Columbia,ALS,ALS,Providence,Vancouver,zoom ,,anniewei1@hotmail.com,Annie Wei,"https://www.alsbc.ca/programs-services/support-groups/#:~:text=The%20ALS%20Society%20of%20BC,share%20their%20experiences%20and%20challenges.",Active,"LS support groups provide an open, friendly, and safe environment for ALS patients, family members, friends, and caregivers to discuss issues related to living with ALS.",N/A,Youth and adults,Free,Virtual only,,,images/neurons2.jpg,https://unsplash.com/photos/a-bunch-of-lights-that-are-on-a-tree-NVprB2Xt1bA,,
ALS Society of British Columbia,ALS,ALS,Vancouver island,Victoria,ZOOM & To Be Announced,,ellen.mahoney7@gmail.com,250-920-9502,"https://www.alsbc.ca/programs-services/support-groups/#:~:text=The%20ALS%20Society%20of%20BC,share%20their%20experiences%20and%20challenges.",Active,"LS support groups provide an open, friendly, and safe environment for ALS patients, family members, friends, and caregivers to discuss issues related to living with ALS.",N/A,Youth and adults,Free,Both virtual/in-person,,,images/neurons2.jpg,https://unsplash.com/photos/a-bunch-of-lights-that-are-on-a-tree-NVprB2Xt1bA,,
Alzheimer Society Vancouver Resource Centre,Dementia,"dementia, neurodegenerative, brain, cognitive, memory, neurocognitive, intellectual, mental",All,Vancouver,828 West 8th Avenue Suite 300 Vancouver   BC  Canada,V5Z 1E2,info.vancouver@alzheimerbc.org,604-675-5150,https://alzheimer.ca/bc/en/node/388,Active,"Resource centre for support groups, education workshops, and more","English, Cantonese, Mandarin",Adults only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.6518843333697!2d-123.12537242318244!3d49.26404377207346!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c33f398149%3A0xe0ee90de5616cfb3!2s828%20W%208th%20Ave%20%23300%2C%20Vancouver%2C%20BC%20V5Z%201E3!5e0!3m2!1sen!2sca!4v1736287996465!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/dementia.jpg,https://unsplash.com/photos/woman-sitting-on-wheelchair-zBsdRTHIIm4,,
Angel Flight - Cancer Transportation,Cancer,"cancer, malignancy, neoplasm, carcinoma, tumor, tumour, oncology, oncologic, malignant, neoplastic, sarcoma, adenocarcinoma, hematologic, carcinogenic, metastatic, myeloma, transportation, travel, tranport, transfer",All,Vancouver,"PO BOX 2623, Sidney, BC",V8L 4C1,angel@angelflight.ca,778-677-8920,https://www.angelflight.ca/,Active,"Provides free, accessible air transportation for cancer patients needing treatment at cancer clinics or hospitals in Vancouver, Victoria and to other approved cancer centres in BC. The service is for non-emergency medical transportation; there is no medical assistance on board. Each flight is planned based on the individual requirements of the client, their appointment times and time necessary to get to the treatment facility.",N/A,Youth and adults,Free,In-person only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2635.8839749495783!2d-123.40138352320974!3d48.65033476532522!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548f686c08119c77%3A0xd5fee41d90abd152!2sSidney%2C%20BC%20V8L%204C1!5e0!3m2!1sen!2sca!4v1736287746558!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/angel.jpg,https://unsplash.com/photos/angel-in-blue-dress-painting-JZdPBgU6Nik,,
Arthritis Connections,Arthritis,"joint, rheum, inflammation, arthritis, degenerative, inflammatory, ankylosing spondylitis, arthropathy, connective tissue, chronic, musculoskeletal, pain, inflamation",VCH,Vancouver,N/A,N/A,connections@arthritis.ca,N/A,https://arthritis.ca/support-education/support-in-your-community/arthritis-connections,Active,"Education, support groups, helpline.",N/A,Adults only,Free,Both virtual/in-person,,,images/joints.jpg,https://unsplash.com/photos/a-woman-making-a-heart-with-her-hands-lUnSDggKx04,,
